Object,TriggerType,FlowName,FlowType,Status,PerformanceRating,PerformanceScore,GetRecords,UpdateRecords,CreateRecords,LoopCount,ComplexLoops,TotalLoopElements,EntryCriteria,Cautions,Description,PerformanceFactors,LoopDetails
Opportunity,Unknown Trigger,Account_ACU_CreateOpp,AutoLaunchedFlow,Active,Low,21,2,0,0,0,0,0,,,Create Opportunity for Account,Screen/Manual flow (baseline); No entry criteria specified (+15); GET operations: 2 (+6),
Account,RecordAfterSave,Account_AU_UpdateContactAddresses,AutoLaunchedFlow,Active,Medium,30,0,1,0,0,0,0,Trigger Type: Update,DML Operations: Contains record Updates,Update the Contact Addresses to match the business address,Screen/Manual flow (baseline); Non-specific entry criteria (+10); UPDATE operations: 1 (+5); Contains DML operations (+15),
Unknown,Unknown Trigger,Create Child Campaign,AutoLaunchedFlow,Active,Medium,35,0,0,1,0,0,0,,DML Operations: Contains record Creates,,Screen/Manual flow (baseline); No entry criteria specified (+15); CREATE operations: 1 (+5); Contains DML operations (+15),
Unknown,Unknown Trigger,Duplicate DML Operation,Flow,Active,Medium,35,0,0,1,0,0,0,,DML Operations: Contains record Creates,"This flow demonstrates a violation of the rule ""Duplicate DML Operation"".",Screen/Manual flow (baseline); No entry criteria specified (+15); CREATE operations: 1 (+5); Contains DML operations (+15),
Unknown,Unknown Trigger,Hardcoded Id,AutoLaunchedFlow,Active,Medium,35,0,0,1,0,0,0,,DML Operations: Contains record Creates,"This flow demonstrates a violation of the rule ""Hardcoded Id"".",Screen/Manual flow (baseline); No entry criteria specified (+15); CREATE operations: 1 (+5); Contains DML operations (+15),
